age,education_num,hours_per_week,capital,exec_managerial,marginal_professions,other,prof_specialty,sales,tecnical_services,transport_moving,unemployed,workclass,marital_status,race,sex,target
-1.1427181319129989,1.1346082794612673,-1.6556551284212997,-0.1336847537569072,0,0,1,0,0,0,0,0,1,1,1,0,0
-0.9960796915358556,-0.4203150681326199,-0.0356433446016114,-0.1336847537569072,0,0,0,0,0,0,0,0,1,0,1,1,0
1.056858473744149,-0.4203150681326199,-0.0356433446016114,-0.1336847537569072,0,0,1,0,0,0,0,0,1,1,1,0,0
-1.289356572290142,-2.3639692526249787,-0.0356433446016114,-0.1336847537569072,0,0,0,0,0,1,0,0,1,0,1,0,0
-0.9960796915358556,-0.4203150681326199,0.3693596013533106,0.3150540599679912,0,0,1,0,0,0,0,0,1,0,1,0,0
1.056858473744149,-0.0315842312341481,1.5843684392180768,-0.1336847537569072,0,1,0,0,0,0,0,0,1,1,1,0,0
0.910220033367006,-0.0315842312341481,2.394374331127921,-0.1336847537569072,0,1,0,0,0,0,0,0,0,1,0,0,0
-0.3362067098387112,-0.4203150681326199,-0.4406462905565335,-0.1336847537569072,0,0,0,1,0,0,0,0,0,0,0,1,0
-0.2628874896501396,-0.4203150681326199,-0.0356433446016114,-0.1336847537569072,0,0,1,0,0,0,0,0,1,0,1,1,0
-1.2160373521015704,-0.8090459050310916,-0.0356433446016114,-0.1336847537569072,0,0,0,0,0,0,1,0,1,1,1,0,0
-0.922760471347284,-0.4203150681326199,1.5843684392180768,-0.3830890628587455,0,0,1,0,0,0,0,0,1,1,0,0,1
0.3969854920470048,-1.1977767419295635,-0.0356433446016114,-0.1336847537569072,0,0,0,0,0,1,0,0,0,0,0,0,0
0.9835392535555776,1.9120699532582108,-0.8456492365114556,0.2850931527057573,0,0,0,1,0,0,0,0,1,1,1,1,1
-0.556164370404426,-0.4203150681326199,-0.8456492365114556,-0.1336847537569072,0,0,0,0,0,0,1,0,1,0,0,1,0
0.9835392535555776,-0.0315842312341481,0.3693596013533106,-0.1336847537569072,0,0,0,1,0,0,0,0,1,1,1,0,1
-0.7761220309701408,1.1346082794612673,0.3693596013533106,-0.1336847537569072,0,0,0,1,0,0,0,0,1,1,1,1,1
-0.4828451502158544,-0.4203150681326199,-0.0356433446016114,-0.1336847537569072,0,0,0,0,0,1,0,0,1,1,1,0,0
-0.4828451502158544,1.1346082794612673,-0.0356433446016114,-0.1336847537569072,1,0,0,0,0,0,0,0,1,1,1,0,1
-0.1162490492729964,-0.0315842312341481,1.1793654932631548,-0.1336847537569072,0,0,0,0,0,0,1,0,1,1,1,0,1
1.4967737948755788,-0.4203150681326199,-0.0356433446016114,-0.1336847537569072,0,0,0,0,1,0,0,0,0,1,1,1,1
-1.5826334530444284,-1.5865075788280352,-2.95166455547705,-0.1336847537569072,0,0,1,0,0,0,0,0,1,0,1,0,0
